,media_source,date,geo,cost,currency
0,source_1,2007-12-04,TZ,0.0,USD
1,source_2,2007-12-05,LB,3.1343629862,USD
2,source_3,2007-12-07,MP,0.40043,USD
3,source_1,2007-12-02,WF,0.0,USD
4,source_2,2007-12-04,VE,1.7160879715,USD
5,source_2,2007-12-06,SI,1.2611770004,USD
6,source_3,2007-12-03,BG,9.139726,USD
7,source_3,2007-12-01,AS,0.537137,USD
8,source_1,2007-12-02,US,0.0,USD
9,source_1,2007-12-03,GH,0.840000011,USD
10,source_3,2007-12-01,GI,0.485304,USD
11,source_2,2007-12-05,HK,0.009801,USD
12,source_3,2007-12-01,BI,0.165575,USD
13,source_4,2007-12-06,AR,0.0,USD
14,source_1,2007-12-05,BO,0.7200000286,USD
15,source_2,2007-12-07,ZA,0.9293829965,USD
16,source_3,2007-12-04,GU,2.45027,USD
17,source_5,2007-12-03,ES,0.0,USD
18,source_3,2007-12-04,LR,1.395444,USD
19,source_3,2007-12-04,MK,2.222653,USD
20,source_3,2007-12-07,MX,15.064824,USD
21,source_2,2007-12-01,PA,2.4171090065,USD
22,source_3,2007-12-07,CR,2.632963,USD
23,source_1,2007-12-02,GG,0.0,USD
24,source_3,2007-12-01,LT,8.549707,USD
25,source_3,2007-12-04,KR,9.947159,USD
26,source_6,2007-12-02,VI,0.0,USD
27,source_3,2007-12-04,EH,0.0,USD
28,source_7,2007-12-05,US,80.35,USD
29,source_1,2007-12-07,BB,0.7400000095,USD
30,source_3,2007-12-03,KW,0.968113,USD
31,source_1,2007-12-04,BL,0.0,USD
32,source_7,2007-12-06,UK,23.26,USD
33,source_1,2007-12-01,FR,0.9799999744,USD
34,source_1,2007-12-04,DM,0.0,USD
35,source_2,2007-12-03,SV,1.9900019888,USD
36,source_1,2007-12-03,IL,0.2280000001,USD
37,source_2,2007-12-01,IL,0.0381469998,USD
38,source_3,2007-12-01,PF,0.485771,USD
39,source_1,2007-12-02,JM,0.3600000143,USD
40,source_2,2007-12-03,DM,0.1012780008,USD
41,source_3,2007-12-03,NO,7.396273,USD
42,source_1,2007-12-07,CD,0.0,USD
43,source_3,2007-12-05,AO,1.606716,USD
44,source_1,2007-12-03,BT,0.0,USD
45,source_1,2007-12-06,PH,2.8400001079,USD
46,source_2,2007-12-05,BO,0.4936959981,USD
47,source_1,2007-12-03,MC,0.0,USD
48,source_7,2007-12-07,QA,0.81,USD
49,source_3,2007-12-07,ES,3.849574,USD
50,source_2,2007-12-01,BM,0.5220429992,USD
51,source_1,2007-12-01,BA,0.1299999952,USD
52,source_1,2007-12-05,SC,0.0,USD
53,source_7,2007-12-03,CW,0.0,USD
54,source_1,2007-12-04,IR,0.0,USD
55,source_2,2007-12-04,CF,0.004169,USD
