,Unnamed: 0,Provider,Provider Country,Developer Proceeds,Begin Date,End Date,Customer Currency,Country Code,Currency of Proceeds,Customer Price,Device,Supported Platforms
0,0,APPLE,US,20.58,12/1/2007,12/1/2007,RON,RO,RON,34.99,iPhone,iOS
1,1,APPLE,US,0.0,12/1/2007,12/1/2007,USD,ZW,USD,0.0,iPhone,iOS
2,2,APPLE,US,4.66,12/1/2007,12/1/2007,USD,OM,USD,6.99,iPhone,iOS
3,3,APPLE,US,0.0,12/1/2007,12/1/2007,USD,GM,USD,0.0,iPhone,iOS
5,5,APPLE,US,4.08,12/1/2007,12/1/2007,USD,UA,USD,6.99,iPhone,iOS
6,6,APPLE,US,0.0,12/1/2007,12/1/2007,PEN,PE,PEN,0.0,iPhone,iOS
8,8,APPLE,US,0.0,12/1/2007,12/1/2007,USD,SL,USD,0.0,iPhone,iOS
9,9,APPLE,US,0.0,12/1/2007,12/1/2007,EUR,SK,EUR,0.0,iPhone,iOS
10,10,APPLE,US,3.5,12/1/2007,12/1/2007,USD,US,USD,4.99,iPhone,iOS
11,11,APPLE,US,0.0,12/1/2007,12/1/2007,CNY,CN,CNY,0.0,iPhone,iOS
12,12,APPLE,US,4.9,12/1/2007,12/1/2007,USD,US,USD,6.99,iPhone,iOS
13,13,APPLE,US,3.98,12/1/2007,12/1/2007,EUR,IT,EUR,6.99,iPhone,iOS
16,16,APPLE,US,2018.6,12/1/2007,12/1/2007,NGN,NG,NGN,3100.0,iPhone,iOS
17,17,APPLE,US,546.0,12/1/2007,12/1/2007,JPY,JP,JPY,780.0,iPhone,iOS
18,18,APPLE,US,0.0,12/1/2007,12/1/2007,USD,CD,USD,0.0,iPhone,iOS
19,19,APPLE,US,0.0,12/1/2007,12/1/2007,NZD,NZ,NZD,0.0,iPad,iOS
20,20,APPLE,US,546.0,12/1/2007,12/1/2007,JPY,JP,JPY,780.0,iPhone,iOS
21,21,APPLE,US,0.0,12/1/2007,12/1/2007,ZAR,ZA,ZAR,0.0,iPhone,iOS
22,22,APPLE,US,0.0,12/1/2007,12/1/2007,USD,EC,USD,0.0,iPad,iOS
23,23,APPLE,US,0.0,12/1/2007,12/1/2007,EUR,FR,EUR,0.0,iPhone,iOS
24,24,APPLE,US,3.95,12/1/2007,12/1/2007,EUR,FI,EUR,6.99,iPhone,iOS
25,25,APPLE,US,6.53,12/1/2007,12/1/2007,SGD,SG,SGD,9.98,iPhone,iOS
26,26,APPLE,US,30.79,12/1/2007,12/1/2007,HRK,HR,HRK,54.99,iPhone,iOS
28,28,APPLE,US,6.29,12/1/2007,12/1/2007,CAD,CA,CAD,8.99,iPhone,iOS
29,29,APPLE,US,3.98,12/1/2007,12/1/2007,EUR,IT,EUR,6.99,iPhone,iOS
30,30,APPLE,US,0.0,12/1/2007,12/1/2007,EUR,EE,EUR,0.0,iPhone,iOS
31,31,APPLE,US,4.01,12/1/2007,12/1/2007,EUR,SI,EUR,6.99,iPhone,iOS
32,32,APPLE,US,4.9,12/1/2007,12/1/2007,USD,US,USD,6.99,iPhone,iOS
33,33,APPLE,US,4.9,12/1/2007,12/1/2007,USD,AR,USD,6.99,iPhone,iOS
34,34,APPLE,US,0.0,12/1/2007,12/1/2007,USD,DO,USD,0.0,iPhone,iOS
36,36,APPLE,US,4.9,12/1/2007,12/1/2007,USD,MN,USD,6.99,iPhone,iOS
37,37,APPLE,US,8.11,12/1/2007,12/1/2007,AUD,AU,AUD,10.49,iPhone,iOS
38,38,APPLE,US,4.89,12/1/2007,12/1/2007,USD,IS,USD,8.67,iPhone,iOS
39,39,APPLE,US,4.2,12/1/2007,12/1/2007,USD,KE,USD,6.99,iPhone,iOS
40,40,APPLE,US,4.06,12/1/2007,12/1/2007,USD,ZW,USD,6.99,iPhone,iOS
41,41,APPLE,US,3.47,12/1/2007,12/1/2007,GBP,GB,GBP,5.99,iPhone,iOS
42,42,APPLE,US,0.0,12/1/2007,12/1/2007,USD,TT,USD,0.0,iPhone,iOS
43,43,APPLE,US,4.25,12/1/2007,12/1/2007,USD,UZ,USD,6.99,iPhone,iOS
45,45,APPLE,US,0.0,12/1/2007,12/1/2007,USD,KW,USD,0.0,iPhone,iOS
46,46,APPLE,US,0.0,12/1/2007,12/1/2007,TRY,TR,TRY,0.0,iPhone,iOS
47,47,APPLE,US,4.9,12/1/2007,12/1/2007,USD,HN,USD,6.99,iPhone,iOS
48,48,APPLE,US,0.0,12/1/2007,12/1/2007,EUR,LU,EUR,0.0,iPhone,iOS
49,49,APPLE,US,0.0,12/1/2007,12/1/2007,NZD,NZ,NZD,0.0,iPhone,iOS
50,50,APPLE,US,4.89,12/1/2007,12/1/2007,SGD,SG,SGD,7.48,iPhone,iOS
51,51,APPLE,US,0.0,12/1/2007,12/1/2007,GBP,GB,GBP,0.0,iPhone,iOS
52,52,APPLE,US,4.89,12/1/2007,12/1/2007,USD,AL,USD,8.39,iPhone,iOS
54,54,APPLE,US,4.9,12/1/2007,12/1/2007,USD,JM,USD,6.99,iPhone,iOS
56,56,APPLE,US,0.0,12/1/2007,12/1/2007,PHP,PH,PHP,0.0,iPhone,iOS
57,57,APPLE,US,3.5,12/1/2007,12/1/2007,USD,US,USD,4.99,iPhone,iOS
58,58,APPLE,US,4.11,12/1/2007,12/1/2007,EUR,DE,EUR,6.99,iPhone,iOS
60,60,APPLE,US,4.9,12/1/2007,12/1/2007,USD,PG,USD,6.99,iPhone,iOS
61,61,APPLE,US,3.47,12/1/2007,12/1/2007,GBP,GB,GBP,5.99,iPhone,iOS
62,62,APPLE,US,0.0,12/1/2007,12/1/2007,CZK,CZ,CZK,0.0,iPhone,iOS
64,64,APPLE,US,0.0,12/1/2007,12/1/2007,EUR,ES,EUR,0.0,iPhone,iOS
66,66,APPLE,US,0.0,12/1/2007,12/1/2007,ILS,IL,ILS,0.0,iPhone,iOS
67,67,APPLE,US,0.0,12/1/2007,12/1/2007,MYR,MY,MYR,0.0,iPhone,iOS
68,68,APPLE,US,4.9,12/1/2007,12/1/2007,USD,NP,USD,6.99,iPhone,iOS
70,70,APPLE,US,4.74,12/1/2007,12/1/2007,USD,UY,USD,6.99,iPhone,iOS
72,72,APPLE,US,4.9,12/1/2007,12/1/2007,USD,US,USD,6.99,iPhone,iOS
73,73,APPLE,US,0.0,12/1/2007,12/1/2007,MXN,MX,MXN,0.0,iPad,iOS
74,74,APPLE,US,4.55,12/1/2007,12/1/2007,CHF,CH,CHF,7.0,iPhone,iOS
75,75,APPLE,US,0.0,12/1/2007,12/1/2007,USD,ZM,USD,0.0,iPhone,iOS
77,77,APPLE,US,0.0,12/1/2007,12/1/2007,PEN,PE,PEN,0.0,iPhone,iOS
78,78,APPLE,US,21.0,12/1/2007,12/1/2007,USD,US,USD,29.99,iPhone,iOS
79,79,APPLE,US,0.0,12/1/2007,12/1/2007,PLN,PL,PLN,0.0,iPhone,iOS
80,80,APPLE,US,0.0,12/1/2007,12/1/2007,HKD,HK,HKD,0.0,iPhone,iOS
81,81,APPLE,US,4.9,12/1/2007,12/1/2007,USD,US,USD,6.99,iPad,iOS
83,83,APPLE,US,0.0,12/1/2007,12/1/2007,EGP,EG,EGP,0.0,iPhone,iOS
84,84,APPLE,US,4.11,12/1/2007,12/1/2007,EUR,CY,EUR,6.99,iPhone,iOS
